imdb_name_id,name,date_of_birth,amount of movies,gender
nm0782621,Mona Seilitz,1943,1,actress
nm0689082,Yisrael Poliakov,1941,1,actor
nm0051526,Gavri Banai,1940,1,actor
nm2468389,Chiang Li,,1,actor
nm0450097,Robert Kerver,,1,actor
nm0226391,Hélène Dieudonné,1884,1,actress
nm0560982,Yvette Maurech,,1,actress
nm0278429,Valerio Fioravanti,1958,1,actor
nm0004149,Bo Svenson,1941,15,actor
nm0239114,Lima Duarte,1930,7,actor
nm0922367,Timothy West,1934,1,actor
nm0444198,Steven Keats,1945,1,actor
nm0166703,Jeannette Clift,1925,1,actress
nm0166452,Corinne Cléry,1950,9,actress
nm0711970,Vivi Rau,1951,1,actress
nm0653157,Anne Marie Ottersen,1945,1,actress
nm0575416,Katja Medbøe,1945,2,actress
nm0228336,Bob Dishy,1934,2,actor
nm0055645,Joanna Barnes,1934,1,actress
nm0004051,Brian Cox,1946,18,actor
nm0514940,Terry Liu,,1,actress
nm0363888,Jessica Harper,1949,4,actress
nm1339294,Ashish Kumar,,1,actor
nm0484333,Geoffrey Land,,2,actor
nm0595991,Victor Mohica,1933,2,actor
nm0094746,Peter Bonke,1942,2,actor
nm0001832,Sam Waterston,1940,12,actor
nm0260469,Javier Escrivá,1930,1,actor
nm0148050,Celia,,1,actress
nm0632427,Marina Ninchi,1940,1,actress
nm0845489,Lars Söderdahl,1964,2,actor
nm0928039,Mats Wikström,1964,1,actor
nm0802183,Neetu Singh,1958,3,actress
nm0117530,Brasse Brännström,1945,5,actor
nm0748594,Mariann Rudberg,,1,actress
nm0702479,Marília Pêra,1943,9,actress
nm0265832,Lola Falana,1942,1,actress
nm0913445,Gene Washington,1947,1,actor
nm0249982,Eric Edwards,1945,1,actor
nm0037491,Emmanuelle Arsan,1932,1,actress
nm0148114,Rosalino Cellamare,1953,1,actor
nm0658926,Giuseppe Pambieri,1944,3,actor
nm0944842,Yossi Yadin,1920,1,actor
nm0083640,Len Birman,1932,1,actor
nm0002032,Roger Daltrey,1944,4,actor
nm0450414,Sara Kestelman,1944,1,actress
nm0395697,Jean-Loup Philippe,1936,1,actor
nm0363952,Roy Harper,1941,1,actor
nm0000883,Stephanie Beacham,1947,3,actress
nm0590012,Mercedes Molina,,1,actress
nm0354078,Kenneth Haigh,1931,1,actor
nm0466581,Hilda Koronel,1957,4,actress
nm0734368,Bembol Roco,1953,2,actor
nm0014420,Tomoko Ai,1954,1,actress
nm0514382,Antti Litja,1938,4,actor
nm0886234,Hans van der Gragt,1945,1,actor
nm0293659,Paul Frees,1920,2,actor
nm1029899,Doug Hagdahl,,1,actor
nm0038596,Kasu Asfaw,,1,actress
nm2983112,Gebru Kasa,,1,actor
nm0733929,Eugene Roche,1928,2,actor
nm0588553,Jason Miller,1939,3,actor
nm0371495,Linda Haynes,1947,2,actress
nm0912874,Jennifer Warren,1941,1,actress
nm0439784,Girish Karnad,1938,6,actor
nm0053019,Jadwiga Baranska,1935,1,actress
nm0082761,Jerzy Binczycki,1937,3,actor
nm0677612,Víctor Petit,1940,2,actor
nm0467422,María Kosty,1951,1,actress
nm0100683,Dschingis Bowakow,1961,1,actor
nm0006740,Uwe Bohm,1962,3,actor
nm0899417,Lyubov Virolaynen,1941,1,actress
nm0166986,Al Cliver,1951,7,actor
nm0227967,Silvia Dionisio,1951,5,actress
nm0001221,Louise Fletcher,1934,11,actress
nm0368472,Marilyn Hassett,1947,5,actress
nm0830569,Brian Stirner,,1,actor
nm0364172,Davyd Harries,1937,1,actor
nm0087751,Dusan Blaskovic,1930,1,actor
nm0115789,Eddie Brugman,1943,1,actor
nm0739697,Jacqueline Rommerts,,1,actress
nm0478332,Serge L'Italien,,1,actor
nm0128789,Rachel Cailhier,,1,actress
nm0351133,José Luis Gómez,1940,4,actor
nm1166932,Diana Pérez de Guzmán,,1,actress
nm0001917,Pedro Armendáriz Jr.,1940,6,actor
nm0622959,Martha Navarro,1937,1,actress
nm0686375,Michele Placido,1946,24,actor
nm0483069,Anne-Louise Lambert,1955,1,actress
nm0504803,Al Lettieri,1928,2,actor
nm0283113,Josep Maria Flotats,1939,1,actor
nm0618920,Nadiuska,1952,2,actress
nm0210274,Alberto de Mendoza,1923,1,actor
nm3992033,Joseph Arkim,,1,actor
nm0181355,Francisco Cortéz,,1,actor
nm0139213,Mario Carotenuto,1916,3,actor
nm0148947,Carmen Cervera,1943,1,actress
nm0651831,Gabriel Marian Oseciuc,1950,1,actor
nm0432993,Vappu Jurkka,1927,1,actress
nm0463740,Ere Kokkonen,1938,1,actor
nm0630453,Daria Nicolodi,1950,4,actress
nm0008311,Aleksandr Abdulov,1953,10,actor
nm0292802,Lynne Frederick,1954,3,actress
nm0130361,Paul Callaway,,1,actor
nm0486181,Richard Lange,,1,actor
nm0156780,Sam Chew Jr.,1942,1,actor
nm0154389,Elisabeth Chauvet,,1,actress
nm0300965,Claude Gagnon,1949,1,actor
nm0000560,Nick Nolte,1941,43,actor
nm0017952,Igor Alekseyev,,1,actor
nm0022640,Vera Altayskaya,1919,1,actress
nm0000347,Tim Curry,1946,8,actor
nm0002144,John Houseman,1902,2,actor
nm0634677,Beppie Nooij Jr.,1919,1,actress
nm0093678,Paolo Bonacelli,1937,5,actor
nm0145863,Giorgio Cataldi,,1,actor
nm0049076,Enayat Bakhshi,1945,2,actor
nm0847221,Yôko Takahashi,1953,2,actress
nm0040493,Sandra Atia,,2,actress
nm0782564,Louis Seigner,1903,1,actor
nm0078109,Roland Bertin,1930,2,actor
nm0172055,Anne Collings,1939,1,actress
nm0727671,Monika Ringwald,,2,actress
nm0428752,Mark Jones,1939,1,actor
nm0223619,Bernard Dhéran,1926,1,actor
nm0024919,Georges Aminel,1922,4,actor
nm0848903,Tao-Liang Tan,1947,4,actor
nm0862875,James Tien,,2,actor
nm0304065,Kwok-Leung Gan,1954,2,actor
nm0075588,Jeannie Berlin,1949,1,actress
nm0399070,Yue Wong,1955,6,actor
nm0155147,Chen Chi Lin,1955,3,actress
nm0913912,Tsunehiko Watase,1944,8,actor
nm0359035,Paul Hampton,1937,1,actor
nm0798718,Joe Silver,1922,2,actor
nm0214764,Maurizio Degli Esposti,,2,actor
nm0793399,Etsuko Shihomi,1956,6,actress
nm0068724,Jana Bellan,1951,1,actress
nm0200192,Tage Danielsson,1928,1,actor
nm0013210,Franco Agostini,,1,actor
nm0599101,Marlo Monte,1942,1,actor
nm0340663,Reatha Grey,,1,actress
nm0945214,Goichi Yamada,,1,actor
nm0389517,Dominic Hogan,1936,1,actor
nm0746401,Gay Rowan,1948,1,actress
nm0191504,Max Cullen,1940,2,actor
nm0685997,Charles Pitts,,1,actor
nm0262272,Shari Eubank,1947,2,actress
nm0914531,Bruce Watson,1940,1,actor
nm0386145,Laura Hippe,1950,1,actress
nm0225191,George DiCenzo,1940,2,actor
nm0498103,Robbie Lee,1954,1,actress
nm0619701,Joanne Nail,1947,1,actress
nm0341901,Grigore Grigoriu,1941,1,actor
nm0866336,Svetlana Toma,1947,1,actress
nm0467615,Eva Kotamanidou,1936,3,actress
nm0134563,Aldo Canti,1941,1,actor
nm0360420,Marc Hannibal,1931,1,actor
nm1041650,Pelusa Suero,1938,2,actor
nm1039706,Enrique Conlazo,,1,actor
nm0167233,Raymond Cloutier,1945,1,actor
nm0162359,Jean François Cimino,,1,actor
nm0154365,César Chauveau,,1,actor
nm0831312,Barry Stokes,1948,4,actor
nm0814629,Gay Soper,1945,1,actress
nm0898408,Pamela Villoresi,1957,3,actress
nm0173354,Coluche,1944,12,actor
nm10141937,Kuriko Hano,,1,actor
nm0910288,Laurie Walters,1947,1,actress
nm0816876,Joe Spano,1946,2,actor
nm0278384,Itschak Fintzi,1933,3,actor
nm0356674,Miles Halliwell,1931,1,actor
nm0932361,Jerome Willis,1928,1,actor
nm0508035,Thierno Leye,,1,actor
nm0648526,Yildirim Önal,1931,1,actor
nm0494432,Paul Le Mat,1945,11,actor
nm0491275,Rémi Laurent,1957,2,actor
nm0384861,Stéphane Hillel,1955,2,actor
nm0073479,Katalin Berek,1930,1,actress
nm0896944,Gyöngyvér Vigh,,1,actress
nm0319462,Sam Gilman,1915,1,actor
nm0297686,Tatsuya Fuji,1941,11,actor
nm0559405,Eiko Matsuda,1952,1,actress
nm0269077,James Faulkner,1948,4,actor
nm0629309,Maurizio Nichetti,1948,7,actor
nm0584983,Maurizio Micheli,1947,2,actor
nm0625037,Nathalie Nell,1950,1,actress
nm0288575,Alain Fourès,,1,actor
nm0041609,Martine Audó,,1,actress
nm0430746,Erland Josephson,1923,12,actor
nm0037151,Rod Arrants,1944,1,actor
nm0005088,Joanna Kerns,1953,2,actress
nm0221497,Georges Desmouceaux,,1,actor
nm0325886,Philippe Goldmann,,1,actor
nm0430944,Darwin Joston,1937,1,actor
nm0465187,Vladimir Konkin,1951,1,actor
nm0813589,Huda Sultan,1925,1,actress
nm0154012,Noëlle Châtelet,1944,1,actress
nm0716195,Eve Reeves,,1,actress
nm0200400,Joyce Danner,,1,actress
nm0493311,Richard Lawson,1947,1,actor
nm0153686,Annazette Chase,1941,1,actress
nm0746947,Bill Roy,,1,actor
nm0101931,Tanya Boyd,1951,1,actress
nm0813755,Jack Somack,1918,1,actor
nm0331374,Marjoe Gortner,1944,5,actor
nm0004812,Lynda Carter,1951,2,actress
nm0699596,Tilo Prückner,1940,2,actor
nm0244850,Jacques Dutronc,1943,16,actor
nm0001074,Ronny Cox,1938,11,actor
nm0159053,Jun Chong,,3,actor
nm0244740,Deborah Dutch,1951,3,actress
nm0468586,Krzysztof Kowalewski,1937,3,actor
nm0030373,Francesco Anniballi,,1,actor
nm0000281,Scott Baio,1960,8,actor
nm0427538,Barbarao,,1,actress
nm0915773,Johnny Weathers,,1,actor
nm0140015,Tino Carraro,1910,1,actor
nm0607609,Helen Morse,1947,2,actress
nm0000721,Victoria Abril,1959,31,actress
nm0571853,Bill McKinney,1931,2,actor
nm0014977,Franklyn Ajaye,1949,1,actor
nm0204034,Windsor Davies,1930,1,actor
nm0545690,Francesca Marciano,1955,2,actress
nm0563417,Mike Mazurki,1907,1,actor
nm0160723,Vic Christy,1912,1,actor
nm0514904,Chia-Hui Liu,1951,15,actor
nm0015081,Tarik Akan,1949,56,actor
nm0141300,Nina Carson,,1,actress
nm0368599,Lynn Hastings,,2,actress
nm0860995,Dorrie Thomson,1947,1,actress
nm0596807,Ángela Molina,1955,19,actress
nm0308565,Pau Garsaball,1920,1,actor
nm0549568,Michel Marot,,1,actor
nm0594746,Anne-Marie Miéville,1945,2,actress
nm0223990,Rossana Di Lorenzo,1938,1,actress
nm0001934,Kabir Bedi,1946,8,actor
nm0029182,Carole André,1953,2,actress
nm0852305,Dub Taylor,1907,3,actor
nm0868479,Ana Torrent,1966,7,actress
nm0702114,Conchita Pérez,,1,actress
nm0579840,Irfan Mensur,1952,2,actor
nm0466921,Gordana Kosanovic,1953,1,actress
nm0058023,J.J. Barry,1932,1,actor
nm0611889,Chris Mulkey,1948,9,actor
nm0455154,Polly King,,1,actress
nm0675490,Nehemiah Persoff,1919,1,actor
nm0930443,Diahn Williams,1943,1,actress
nm0545638,Ronald L. Marchini,1945,4,actor
nm0159060,Michael Chong,,1,actor
nm0362970,John Hargreaves,1945,10,actor
nm0656186,Grant Page,1939,2,actor
nm1070492,Jenny Tseng,1953,2,actress
nm0730312,Christmas Robbins,,1,actor
nm0562554,Val Mayerik,1950,1,actor
nm0391875,Jennifer Holmes,1955,1,actress
nm0361821,Vlastimil Harapes,1946,2,actor
nm0825952,John Steiner,1941,5,actor
nm0564721,Charles McCallum,1901,1,actor
nm0292420,John Frawley,,2,actor
nm0705577,Zarko Radic,1950,2,actor
nm0152245,Josephine Chaplin,1949,1,actress
nm0004334,Rekha,1954,26,actress
nm0564504,Sandra McCabe,1948,1,actress
nm0084160,Pat Bishop,1946,1,actress
nm0668667,Alfredo Pea,1954,1,actor
nm0501488,Lisa Oz,1963,1,actress
nm0607703,Glenn Morshower,1959,7,actor
nm0055634,John F. Goff,,3,actor
nm0301726,Vera Galatíková,1938,1,actress
nm0635782,Christopher Norris,1953,1,actress
nm0074447,Jean Pierre Bergeron,,1,actor
nm0519427,Malisa Longo,1950,5,actress
nm0233440,Lele Dorazio,,1,actor
nm0076772,Lena-Pia Bernhardsson,1945,1,actress
nm0321114,Antonio Gismondo,,2,actor
nm0512546,Rosemarie Lindt,,1,actress
nm0489766,Shulamith Lasri,,1,actress
nm0000324,Barbara Carrera,1945,8,actress
nm0371069,Jerri Hayes,,1,actress
nm0929930,Ernest Williams II,,1,actor
nm0321400,Paolo Giusti,1942,1,actor
nm0002033,Tyne Daly,1946,5,actress
nm0620756,Jack Nance,1943,1,actor
nm0829270,Charlotte Stewart,1941,1,actress
nm1278343,Alfredo Almeida,,1,actor
nm0152420,Judith Chapman,1951,1,actress
nm0352278,Matthias Habich,1940,4,actor
nm0599604,Enrico Montesano,1945,18,actor
nm0490492,Tony Liu,1952,5,actor
nm0404173,Péter Huszti,1944,1,actor
nm0839391,Szilvia Sunyovszky,1948,1,actress
nm0290550,Gino Franco,,1,actor
nm0199325,Lawrence Dane,1937,4,actor
nm0001006,John Candy,1950,19,actor
nm0622262,Stephen Nathan,1948,1,actor
nm0930286,Cindy Williams,1947,5,actress
nm0051281,Jacques Balutin,1936,2,actor
nm0884259,Karen Valentine,1947,1,actress
nm0599698,Muriel Montossé,1955,2,actress
nm0146517,Ada Tauler,,2,actress
nm0001049,Jill Clayburgh,1944,12,actress
nm0922967,Jack Weston,1924,3,actor
nm0688207,Daniela Poggi,1954,1,actress
nm0061437,Lloyd Battista,1937,2,actor
nm0516807,Terence Locke,1938,1,actor
nm0107281,Eileen Brennan,1932,5,actress
nm0894125,Betty Vergès,1956,2,actress
nm0725192,Claus Richt,,1,actor
nm0570625,Tim McIntire,1944,4,actor
nm0765564,Zorz Sarri,1925,1,actress
nm0608309,Giorgos Moshidis,1931,1,actor
nm0358996,James Hampton,1936,2,actor
nm0175060,Christopher Connelly,1941,10,actor
nm0081547,Josef Bierbichler,1948,7,actor
nm0351668,Stefan Güttler,,1,actor
nm0000860,Paul Bartel,1938,2,actor
nm0466368,Jirí Korn,1949,1,actor
nm0465457,Nada Konvalinková,1951,1,actress
nm0578622,George Memmoli,1938,1,actor
nm0939038,Don Wong,1945,3,actor
nm0086089,Dagmar Bláhová,1949,2,actress
nm0579954,Jirí Menzel,1938,3,actor
nm0715539,Lady Reed,,1,actress
nm0857216,Max Thayer,1946,3,actor
nm0835388,Alfred Struwe,1927,1,actor
nm0215770,Duilio Del Prete,1938,2,actor
nm0276645,Luely Figueiró,1935,1,actress
nm0064889,Claudine Beccarie,1945,1,actress
nm0411150,Koji Ishizaka,1941,5,actor
nm0793577,Yôko Shimada,1953,1,actress
nm0538311,Mirjana Majurec,1952,1,actress
nm0822236,Göran Stangertz,1944,5,actor
nm0075003,Kjell Bergqvist,1953,17,actor
nm0383094,Tonpei Hidari,1937,1,actor
nm0406754,Masachika Ichimura,1949,1,actor
nm0611544,Pradip Mukherjee,1946,2,actor
nm11849323,Rafique Ahmed,,1,actor
nm0215308,Frank DeKova,1910,1,actor
nm0365173,Paul Harris,1917,1,actor
nm0102078,Myriam Boyer,1948,5,actress
nm0058786,Cal Bartlett,1935,2,actor
nm0753262,Jørgen Ryg,1927,4,actor
nm0433971,Preben Kaas,1930,3,actor
nm0820938,Ivano Staccioli,1927,1,actor
nm0211630,Ria De Simone,1947,1,actress
nm0664102,Hossein Parvaresh,,1,actor
nm0802321,Mark Singleton,1919,1,actor
nm0775277,Tell Schreiber,1941,1,actor
nm1290255,Dan McCann,1962,1,actor
nm0049853,A. Michael Baldwin,1963,6,actor
nm0482273,Predrag Lakovic,1929,1,actor
nm0270495,Fei Ai,,5,actor
nm0879073,Susan Tyrrell,1945,4,actress
nm0142535,Mircha Carven,,2,actor
nm0179063,Paola Corazzi,,2,actress
nm0608853,Roger E. Mosley,1938,2,actor
nm0071345,Paul Benjamin,1938,1,actor
nm0035029,Hashem Arkan,,1,actor
nm7188644,Mohammad Fassih,,1,actor
nm0880407,Lembit Ulfsak,1947,7,actor
nm0464495,Daniela Kolárová,1946,3,actress
nm0665981,Stefano Patrizi,1950,2,actor
nm0505097,Benjamin Lev,,1,actor
nm0353624,Dan Haggerty,1942,10,actor
nm0788213,Don Shanks,1950,1,actor
nm0000271,Anne Archer,1947,15,actress
nm0079815,Rodney Bewes,1937,1,actor
nm0046707,Fuddle Bagley,1931,1,actor
nm0000029,Margaux Hemingway,1954,6,actress
nm0001697,Chris Sarandon,1942,10,actor
nm0555829,Claudio Marzo,1940,2,actor
nm0705072,Francine Racette,1947,2,actress
nm0096294,Annik Borel,1948,2,actress
nm0755919,Miroslava Safránková,1958,1,actress
nm0000309,David Bowie,1947,7,actor
nm0698495,Serafino Profumo,,1,actor
nm0938623,Sven Wollter,1934,12,actor
nm0787462,Naseeruddin Shah,1950,57,actor
nm0517907,Václav Lohniský,1920,2,actor
nm0166520,Edith Clever,1940,3,actress
nm0004486,Bruno Ganz,1941,28,actor
nm0274016,Cristina Ferrare,1950,1,actress
nm0949449,David Young,,1,actor
nm0561278,Derrel Maury,1954,2,actor
nm0002989,Andrew Stevens,1955,17,actor
nm0264512,Peter Faber,1943,4,actor
nm0120259,Sacha Bulthuis,1948,1,actress
nm0099084,Patrick Bouchitey,1946,7,actor
nm0583857,Vittorio Mezzogiorno,1941,5,actor
nm0863283,Britt-Louise Tillbom,1942,1,actress
nm0405684,Claude Hébert,,2,actor
nm0589797,Jacqueline Millière,,1,actress
nm0496964,Chai Lee,,1,actress
nm0687847,Werner Pochath,1939,3,actor
nm0880890,Ellen Umlauf,1925,1,actress
nm0565569,Stephen McHattie,1947,14,actor
nm0080214,Samit Bhanja,1944,1,actor
nm0441423,Rosanne Katon,1952,3,actress
nm0006664,Zdenek Sverák,1936,9,actor
nm0451211,Feroz Khan,1939,7,actor
nm0514956,John Liu,1944,5,actor
nm0048689,Lenny Baker,1945,1,actor
nm0779130,Evelyne Scott,1940,1,actress
nm0289359,Redd Foxx,1922,1,actor
nm0047440,Pearl Bailey,1918,1,actress
nm0405306,David Hyry,,1,actor
nm0171864,J. Craig Collicut,,1,actor
nm0275595,Lewis Fiander,1938,2,actor
nm0549424,Richard Marner,1921,1,actor
nm0227968,Sofia Dionisio,1953,1,actress
nm0382212,Ursula Heyer,1940,2,actress
nm0386721,Martin Hirthe,1921,1,actor
nm0789864,Martin Shaw,1945,1,actor
nm0535597,Ernest Maftei,1920,3,actor
nm0243049,Joy Dunstan,1951,1,actress
nm0559830,Graham Matters,,1,actor
nm0106394,Frank Braña,1934,1,actor
nm0477016,Berrit Kvorning,1949,1,actress
nm0563299,Nae Mazilu,1933,1,actor
nm0157255,Etienne Chicot,1949,2,actor
nm0119069,Juozas Budraitis,1940,5,actor
nm0122050,Georgiy Burkov,1933,1,actor
nm0001019,Robert Carradine,1954,14,actor
nm0039066,Jennifer Ashley,1949,2,actress
nm0743418,Gene Ross,1930,1,actor
nm0821241,Ann Stafford,,1,actress
nm0169175,Alain Cohen,1958,1,actor
nm0068180,Edward Michael Bell,1935,1,actor
nm0636357,Herbert Norville,1967,1,actor
nm0416805,Oscar James,1942,1,actor
nm0524018,Raf Luca,,1,actor
nm0688057,Andrey Podoshian,1958,1,actor
nm0540935,Irina Malysheva,1961,1,actress
nm0135988,Lilli Carati,1956,6,actress
nm0138484,Michele Gammino,1941,2,actor
nm0897322,Mara Vila,,1,actress
nm0502218,Rula Lenska,1947,2,actress
nm0102566,Marcel Bozzuffi,1928,5,actor
nm0813503,Elena Solovey,1947,3,actress
nm0620471,Rodion Nahapetov,1944,4,actor
nm0471926,Hanne Krogh,1956,1,actress
nm0728188,Knut Risan,1930,1,actor
nm0497042,Chung Chien Li,,1,actor
nm0940645,Jerii Woods,,1,actress
nm0001735,Talia Shire,1946,11,actress
nm0051063,Costel Baloiu,1959,1,actor
nm0451355,Yevgeniya Khanayeva,1921,1,actress
nm0268838,Natalya Fateeva,1934,2,actress
nm0705817,Miodrag Radovanovic,1929,1,actor
nm0514905,Chia Yung Liu,1944,3,actor
nm0077994,Eva Berthold,1937,1,actress
nm0091867,Alexandra Bogojevic,1951,1,actress
nm0872383,Leonardo Treviglio,1949,2,actor
nm0416290,Barney James,,1,actor
nm0432005,Chun-Erh Lung,1957,3,actress
nm0671831,Peng Tien,1945,1,actor
nm0131974,Colleen Camp,1953,6,actress
nm0677840,Aleksey Petrenko,1938,7,actor
nm0186603,Gemma Craven,1950,1,actress
nm0103470,Carl Bradshaw,,1,actor
nm0607149,Glenn Morrison,,1,actor
nm0464945,Marek Kondrat,1950,14,actor
nm0512651,Graham Lines,1929,1,actor
nm0745306,Steffen Rothschild,,1,actor
nm0849392,Anne-Lise Tangstad,1935,2,actress
nm0386821,Nicole Hiss,,1,actress
nm0656487,Gian Franco Pagliaro,1941,1,actor
nm0001011,Irene Cara,1959,5,actress
nm0769135,Don Scardino,1949,2,actor
nm0669033,Patricia Pearcy,1946,2,actress
nm0749004,Vérénice Rudolph,1951,1,actress
nm0000398,Sally Field,1946,23,actress
nm0713672,Regina Razuma,1951,1,actress
nm0451699,Boris Khmelnitskiy,1940,2,actor
nm0645663,Jens Okking,1939,4,actor
nm0379274,Lotte Hermann,1941,1,actress
nm0828838,Warren Stevens,1919,1,actor
nm0274473,Pablo Ferrel,,1,actor
nm0479260,Aare Laanemets,1954,2,actor
nm0391674,Henric Holmberg,1946,1,actor
nm0718862,Eva Remaeus,1950,1,actress
nm0742953,Djoko Rosic,1932,2,actor
nm0119725,István Bujtor,1942,6,actor
nm0690761,Cochi Ponzoni,1941,3,actor
nm0303715,Karine Gambier,,4,actress
nm0409691,Aharon Ipalé,1941,1,actor
nm0179452,Chase Cordell,,1,actor
nm0236890,Leigh Drake,1945,1,actress
nm0483556,Karen Lamm,1952,2,actress
nm0694470,Taryn Power,1953,2,actress
nm0289343,Robert Foxworth,1941,4,actor
nm0823436,Elzbieta Starostecka,1943,1,actress
nm0670125,Albino S. Pedro,,1,actor
nm0546610,Carlos Margarido,,1,actor
nm0698413,Phil Proctor,1940,3,actor
nm0381606,Howard Hesseman,1940,6,actor
nm0721166,Silvano Rey,,1,actor
nm0209189,Raven De La Croix,1947,2,actress
nm0658425,Renzo Palmer,1929,1,actor
nm0315003,Stuart Goetz,1953,1,actor
nm0924695,Deborah White,,1,actress
nm0612992,Pep Munné,1953,2,actor
nm0687450,Boris Plotnikov,1949,2,actor
nm0331724,Vladimir Gostyukhin,1946,5,actor
nm0106792,Borger Breeveld,1944,1,actor
nm0659221,Diana Gangaram Panday,1948,1,actress
nm0090676,Richard Bock,,1,actor
nm0268352,Tom Farrell,1950,1,actor
nm0004840,Alice Cooper,1948,2,actor
nm0152452,Lonny Chapman,1920,1,actor
nm0338922,Shecky Greene,1926,1,actor
nm0928948,Roman Wilhelmi,1936,6,actor
nm0805490,Richard X. Slattery,1925,1,actor
nm0710426,Prunella Ransome,1943,1,actress
nm0194491,Zsuzsa Czinkóczi,1967,3,actress
nm0619434,Anna Nagy,1940,1,actress
nm0617277,László Márkus,1927,2,actor
nm0255544,Xabier Elorriaga,1944,2,actor
nm0711921,Heather Rattray,1965,1,actress
nm0230029,Michal Docolomanský,1942,2,actor
nm0624669,Christopher Neil,1948,2,actor
nm0014273,Olavi Ahonen,1923,2,actor
nm0032859,Lauri Arajuuri,1907,1,actor
nm0538097,Franjo Majetic,1923,1,actor
nm0024350,Domingo Ambriz,1948,1,actor
nm0798534,Trinidad Silva,1950,1,actor
nm0500148,Don Leifert,1951,2,actor
nm0341612,Tom Griffith,1945,2,actor
nm0605042,Stafford Morgan,,1,actor
nm0289316,Cyrinda Foxe,1952,1,actress
nm0031214,Matthew Anton,1964,1,actor
nm0298862,Lewis Furey,1949,1,actor
nm0706883,Steve Railsback,1945,17,actor
nm0215209,Christine Dejoux,1953,1,actress
nm0409132,John Inman,1935,1,actor
nm0837444,Mollie Sugden,1922,1,actress
nm0755364,José Sacristán,1937,17,actor
nm0266540,Fiorella Faltoyano,1950,4,actress
nm0904710,Dana Vávrová,1967,6,actress
nm0698312,Jirí Procházka,1964,1,actor
nm0777560,Elisabeth Schwarz,1938,1,actress
nm0497741,Leslie Lee,,1,actress
nm0134205,Jack Canon,,2,actor
nm0402730,Bill Hunter,1940,4,actor
nm0284140,Gary Foley,1950,1,actor
nm0001137,William Devane,1939,5,actor
nm0355097,Jackie Earle Haley,1961,6,actor
nm0171563,Pino Colizzi,1937,2,actor
nm0952796,Elio Zamuto,1941,1,actor
nm0897160,Robert Viharo,1936,1,actor
nm0051229,Vicki Baltimore,,1,actress
nm0307592,Piotr Garlicki,1945,1,actor
nm0000905,Roberto Benigni,1952,15,actor
nm0001334,John Heard,1946,18,actor
nm0001080,Lindsay Crouse,1948,7,actress
nm0665599,Smita Patil,1955,15,actress
nm0619047,Anant Nag,1948,11,actor
nm0002157,Herbert Achternbusch,1938,2,actor
nm0081546,Annamirl Bierbichler,1946,2,actress
nm0001091,Patti D'Arbanville,1951,3,actress
nm0471571,Mona Kristensen,1950,1,actress
nm0064114,Norman Beaton,1934,1,actor
nm0859607,Trevor Thomas,,1,actor
nm0838910,Donald Sumpter,1943,1,actor
nm0268431,Debbie Farrington,,1,actress
nm1167629,Kentarô Shimizu,,2,actor
nm0121258,Barbara Burgess,,1,actress
nm0613787,George Murdock,1930,1,actor
nm0151080,Sing Chen,1936,9,actor
nm0351451,Staffan Götestam,1952,1,actor
nm0243921,Marguerite Duras,1914,1,actress
nm0516049,Kathleen Lloyd,1948,4,actress
nm0613354,Ludek Munzar,1933,1,actor
nm0609635,Jaroslav Moucka,1923,1,actor
nm0769154,Alan Scarfe,1946,1,actor
nm0614852,Beverly Murray,,1,actress
nm0000962,Carole Bouquet,1957,27,actress
nm0312475,Larry Gelman,1930,1,actor
nm0223953,Dalila Di Lazzaro,1953,5,actress
nm0491590,Ed Lauter,1938,1,actor
nm0055940,Laurel Barnett,,1,actress
nm0170759,Rosalie Cole,,1,actress
nm0001164,Charles Durning,1923,13,actor
nm0632581,Yana Nirvana,1953,1,actress
nm0258913,Catharine Burgess,1951,1,actress
nm0489005,Jay B. Larson,,1,actor
nm0497195,Dragon Lee,1940,5,actor
nm7393968,Irina Shevchenko,,1,actress
nm0000076,François Truffaut,1932,2,actor
nm0359566,Irene Handl,1901,1,actress
nm0060023,Alfie Bass,1916,1,actor
nm0813805,Yanti Somer,1948,4,actress
nm0592869,Michael Mislove,1941,1,actor
nm0929609,Fred Willard,1933,10,actor
nm0136347,Richard Cardella,,1,actor
nm0731131,Glen Roberts,,1,actor
nm0225921,Juan Diego,1942,13,actor
nm0417370,Krystyna Janda,1952,20,actress
nm0705956,Jerzy Radziwilowicz,1950,5,actor
nm0050966,Mario Balmaseda,1941,2,actor
nm0194106,Yolanda Cuéllar,,1,actress
nm0333163,Marina de Graaf,1959,1,actress
nm0185039,Gerard Cox,1940,3,actor
nm0915851,Fritz Weaver,1926,2,actor
nm0001376,Isabelle Huppert,1953,78,actress
nm0664243,Christine Pascal,1953,2,actress
nm0831467,Mink Stole,1947,1,actress
nm0598356,Antoine Monnier,,1,actor
nm0410013,Tina Irissari,,1,actress
nm0458302,Eléonore Klarwein,1963,1,actress
nm0584896,Odile Michel,1959,1,actress
nm0426168,Sally Johnson,,1,actress
nm0882883,Jack Vacek,,1,actor
nm0775823,Trice Schubert,,1,actress
nm0432640,Lars Junggren,1945,1,actor
nm0860905,Inez Thomsen,,1,actress
nm0434542,Lika Kavzharadze,1959,1,actress
nm0246093,Soso Jachvliani,1958,2,actor
nm0181374,Katherine Cortez,1950,1,actress
nm9174604,Larry Parks,1951,1,actor
