imdb_name_id,name,amount of movies
nm0002569,Carl Koch,1
nm0384276,George W. Hill,10
nm0002118,Alan Hale,1
nm0809467,Noel M. Smith,12
nm0376221,Joseph Henabery,2
nm0003226,Kenji Mizoguchi,30
nm0068419,Monta Bell,7
nm0064415,William Beaudine,75
nm0124877,David Butler,50
nm0398464,Harry O. Hoyt,2
nm0922327,Roland West,5
nm0299398,Buntarô Futagawa,1
nm0046082,Clarence G. Badger,4
nm0480677,Ernst Laemmle,1
nm0781292,Edward Sedgwick,23
nm0749484,Wesley Ruggles,25
nm0000033,Alfred Hitchcock,55
nm0245213,Julien Duvivier,40
nm0485943,Walter Lang,37
nm0202590,Dorothy Davenport,5
nm0332539,Edmund Goulding,32
nm0903049,Josef von Sternberg,22
nm0208113,Leander De Cordova,1
nm0760547,G.B. Samuelson,1
nm0107713,H.K. Breslauer,1
nm0007215,King Baggot,1
nm0782707,George B. Seitz,41
nm0783865,Larry Semon,1
nm0593180,Bruce Mitchell,2
nm0820461,Malcolm St. Clair,15
nm0902304,Arthur von Gerlach,1
nm0718469,Charles Reisner,20
nm0920074,William A. Wellman,60
nm0176699,Jack Conway,43
nm0806061,Paul Sloane,8
nm0001328,Howard Hawks,41
nm0744514,Richard Rosson,9
nm0587277,Lewis Milestone,34
nm0782597,Lewis Seiler,36
nm0266691,Arnold Fanck,4
nm0250034,Harry Edwards,2
nm0840042,A. Edward Sutherland,25
nm0878338,Frank Tuttle,24
nm0455938,Teinosuke Kinugasa,3
nm0109264,Guido Brignone,2
nm0699877,Vsevolod Pudovkin,5
nm0652974,Fyodor Otsep,4
nm0280205,Dallas M. Fitzgerald,1
nm0067384,Amo Bek-Nazaryan,1
nm0928214,Herbert Wilcox,21
nm0916224,Millard Webb,3
nm0468882,Grigoriy Kozintsev,9
nm0871185,Leonid Trauberg,6
nm0478441,Gregory La Cava,22
nm0280463,George Fitzmaurice,18
nm0573743,Tom McNamara,1
nm0001008,Frank Capra,31
nm0301961,Henrik Galeen,2
nm0882160,Frank Urson,2
nm0695604,Ivan Pravov,1
nm0696049,Olga Preobrazhenskaya,1
nm0498174,Rowland V. Lee,21
nm0879802,Gustav Ucicky,3
nm0395023,James W. Horne,12
nm0055823,Boris Barnet,7
nm0215877,Roy Del Ruth,54
nm0115669,Clyde Bruckman,6
nm0575963,Aleksandr Medvedkin,2
nm0002061,Maurice Elvey,15
nm0076368,Raymond Bernard,3
nm0928514,Ted Wilde,3
nm0397834,J.A. Howe,1
nm0231151,Mikhail Doller,2
nm0159725,Benjamin Christensen,3
nm0631438,William Nigh,28
nm0017893,Grigoriy Aleksandrov,7
nm0763453,Alfred Santell,15
nm0464561,Sergey Komarov,1
nm0000779,Roscoe 'Fatty' Arbuckle,1
nm0673031,Frank Peregini,1
nm0397678,William K. Howard,20
nm0002190,Anthony Asquith,25
nm0104197,A.V. Bramble,1
nm0821472,John M. Stahl,21
nm0235590,Aleksandr Dovzhenko,8
nm0569645,J.P. McGowan,2
nm0377126,Hobart Henley,5
nm0740282,Abram Room,3
nm0689471,Harry A. Pollard,3
nm0744504,Arthur Rosson,2
nm0195496,Harry d'Abbadie d'Arrast,4
nm0886754,W.S. Van Dyke,48
nm0076779,Curtis Bernhardt,24
nm0508483,Minwei Li,1
nm0946291,Hou Yao,1
nm0790828,Nikoloz Shengelaia,1
nm0178260,Merian C. Cooper,3
nm0578985,Lothar Mendes,10
nm0774325,Ernest B. Schoedsack,9
nm0289381,Bryan Foy,1
nm0270838,Pál Fejös,6
nm0344927,Jean Grémillon,13
nm0399203,Lucien Hubbard,3
nm0045800,Lloyd Bacon,78
nm0869645,Viktor Tourjansky,3
nm0624756,Roy William Neill,24
nm0280904,Robert J. Flaherty,3
nm0721074,Florián Rey,1
nm0541149,Rouben Mamoulian,16
nm0503777,Mervyn LeRoy,66
nm0146709,Alberto Cavalcanti,7
nm0943313,Henry Wulschleger,1
nm0282984,Robert Florey,31
nm0763798,Joseph Santley,14
nm0654868,Yasujirô Ozu,33
nm0188669,John Cromwell,35
nm0532561,Gustav Machatý,9
nm0136888,Edwin Carewe,1
nm0460834,Castleton Knight,1
nm0194492,Paul Czinner,4
nm0783629,Edgar Selwyn,8
nm0871184,Ilya Trauberg,1
nm0184738,William J. Cowen,3
nm0943758,William Wyler,35
nm0825596,Paul L. Stein,10
nm0383304,Howard Higgin,5
nm0396876,Norman Houston,1
nm0484366,Robert Land,1
nm0774256,George Schnéevoigt,1
nm0510839,Jean de Limur,1
nm0000859,Lionel Barrymore,6
nm0802563,Robert Siodmak,32
nm0880618,Edgar G. Ulmer,28
nm0322843,Rochus Gliese,1
nm0802561,Curt Siodmak,5
nm0003593,Fred Zinnemann,24
nm0448915,Erle C. Kenton,17
nm0275220,Henri Fescourt,1
nm0433292,Phil Jutzi,2
nm0953123,Darryl F. Zanuck,2
nm0259611,Fridrikh Ermler,2
nm0092915,Richard Boleslawski,17
nm0006276,Victor Schertzinger,13
nm0715564,Luther Reed,2
nm0131460,Mario Camerini,11
nm0372609,Arch Heath,1
nm0012317,John G. Adolfi,10
nm0142557,H.P. Carver,1
nm0422097,Walter Jerven,1
nm0892045,Bayard Veiller,1
nm0688543,Léon Poirier,1
nm0777579,Hanns Schwarz,3
nm0293260,Thornton Freeland,10
nm0934980,Ward Wing,1
nm0517264,Louis R. Loeffler,1
nm0123556,David Burton,6
nm0342417,Nick Grinde,15
nm0534226,Kenneth MacPherson,1
nm0102643,Charles Brabin,12
nm0160280,Al Christie,2
nm0114266,Melville W. Brown,3
nm0562845,Archie Mayo,34
nm0857949,Wilhelm Thiele,10
nm0153266,André Charlot,1
nm0401323,Jack Hulbert,1
nm0615208,Paul Murray,1
nm0668972,Leslie Pearce,2
nm0180987,Lloyd Corrigan,7
nm0776997,Laurence Schwab,1
nm0002179,George Archainbaud,33
nm0258015,Ray Enright,55
nm0831577,Benjamin Stoloff,19
nm0400652,Howard Hughes,2
nm0001843,James Whale,19
nm0307819,Tay Garnett,36
nm0341486,Edward H. Griffith,15
nm0690120,Roy Pomeroy,1
nm0026960,John Murray Anderson,1
nm0487237,Walter Lantz,4
nm0564970,Leo McCarey,18
nm0112897,Otto Brower,10
nm0461348,Edwin H. Knopf,3
nm0007973,George Abbott,7
nm0671501,Scott Pembroke,2
nm0590701,Robert Milton,3
nm0356931,Victor Halperin,6
nm0688040,Porfiri Podobed,1
nm0312866,Augusto Genina,4
nm0806143,Edward Sloman,3
nm0730018,Hal Roach,9
nm0823089,Irene Starewicz,1
nm0823088,Wladyslaw Starewicz,1
nm0002030,George Cukor,57
nm0306875,Cyril Gardner,2
nm0168413,Jean Cocteau,6
nm0002489,Karl Anton,3
nm0003490,Ludwig Berger,2
nm0000320,Luis Buñuel,30
nm0314351,Marion Gering,10
nm0409781,Ardeshir Irani,1
nm0689455,Bud Pollard,2
nm0261455,Howard Estabrook,1
nm0366781,Karl Hartl,5
nm0532187,Hamilton MacFadden,6
nm0896826,Berthold Viertel,3
nm0514822,Anatole Litvak,24
nm0005713,Karl Freund,4
nm0869801,Enrique Tovar Ávalos,1
nm0483944,Gerhard Lamprecht,2
nm0908234,Stuart Walker,6
nm0247484,B. Reeves Eason,13
nm0226189,William Dieterle,55
nm0782804,Steve Sekely,7
nm0568915,William C. McGann,15
nm0152834,Erik Charell,2
nm0670643,Mario Peixoto,1
nm0533074,Russell Mack,3
nm0331482,Heinosuke Gosho,4
nm0908831,Richard Wallace,23
nm0329066,Edward Goodman,1
nm0572851,Norman Z. McLeod,29
nm0833965,Frank R. Strayer,25
nm0736610,Albert S. Rogell,16
nm0755985,Leontine Sagan,1
nm0296193,Carl Froelich,4
nm0257068,Erich Engel,1
nm0873193,Victor Trivas,2
nm0790242,George Shdanoff,1
nm0411866,Daisuke Itô,1
nm0118512,Tom Buckingham,1
nm0663613,James Parrott,2
nm0416258,Alan James,6
nm0747844,J. Walter Ruben,12
nm0252388,Nikolai Ekk,1
nm0114602,Rowland Brown,4
nm0496505,D. Ross Lederman,21
nm0603875,Antonio Moreno,1
nm0386785,Leslie S. Hiscott,2
nm0616893,Zion Myers,1
nm0925028,Jules White,3
nm0851537,Norman Taurog,61
nm0713283,Jack Raymond,1
nm0125636,Edward Buzzell,24
nm0649097,Max Ophüls,20
nm0295920,Varick Frissell,1
nm0113693,Harry Joe Brown,3
