imdb_name_id,name,amount of movies
nm0326321,Scott D. Goldstein,1
nm0694341,Tristram Powell,1
nm0624987,Frans Nel,1
nm0806121,James Slocum,1
nm0629216,Phil Nibbelink,3
nm0920425,Simon Wells,6
nm0194920,Alessandro D'Alatri,7
nm0554880,Emilio Martínez Lázaro,11
nm0177555,Tony Cookson,2
nm0489537,Hany Lasheen,2
nm0764319,Damon Santostefano,3
nm0030133,Saeed Anjum,1
nm0861792,Espen Thorstenson,3
nm0001003,Simon Callow,1
nm0845973,Sylvio Tabet,1
nm0006867,John Kent Harrison,1
nm0873779,Gary Trousdale,3
nm0936374,Kirk Wise,3
nm0580729,E. Elias Merhige,3
nm0352357,Hervé Hachuel,1
nm0103498,John Bradshaw,6
nm0548375,Tony Markes,3
nm0895536,Robert Veze,1
nm0382072,Peter Hewitt,8
nm0912798,Deryn Warren,3
nm0164757,Frank Clarke,1
nm0718001,Jeffrey Reiner,4
nm0766020,Oley Sassone,4
nm0874810,Dean Tschetter,1
nm0061376,Bradley Battersby,3
nm0192009,James Cummins,1
nm0002728,Juan José Campanella,8
nm0894178,Jan Verheyen,17
nm0005436,John Singleton,8
nm0448187,Lou Kennedy,1
nm0671660,Brandon Pender,1
nm0212386,Brandon De-Wilde,1
nm0276317,Michael Fields,1
nm0400958,Terry Hughes,1
nm0248420,Nicolás Echevarría,2
nm0783299,Peter Sellars,1
nm0524356,Leandro Lucchetti,1
nm0177511,William Cooke,2
nm0847956,Paul Talbot,3
nm0400177,David Huey,2
nm0330057,Bryan Gordon,2
nm0681535,Giuseppe Piccioni,8
nm0411890,Shûji Iuchi,1
nm0080233,Radha Bharadwaj,2
nm0451592,Nacer Khemir,2
nm0652162,Jaime Osorio Gómez,1
nm0446109,David Kellogg,2
nm0223522,David Dhawan,37
nm0506405,Eugene Levy,1
nm0367703,Rupert Harvey,1
nm0097544,Michael Bortman,1
nm0059247,Sean Barton,1
nm0006702,Ana Belén,1
nm0535222,Kenneth Madsen,1
nm9957516,Kenneth Kort Madsen,1
nm0001554,Errol Morris,1
nm0556826,James Riffel,3
nm0303030,Fred Gallo,4
nm0288978,Erica Fox,1
nm0747724,John Ruane,2
nm0868650,Gabe Torres,2
nm0001988,Marc Caro,3
nm0000466,Jean-Pierre Jeunet,7
nm0173207,Carl Colpaert,7
nm0226586,Erin Dignam,2
nm0155624,Siu-Keung Cheng,1
nm0950715,Chun-Man Yuen,1
nm0518775,Roy London,1
nm0004564,Hema Malini,2
nm1067883,Nageshwara Rao Y.,1
nm2589174,M. Parvez,1
nm0772851,Branko Schmidt,9
nm0320285,Marco Tullio Giordana,7
nm0946875,Herman Yau,33
nm0817801,Michael Spence,2
nm0758574,Walter Salles,9
nm0954693,Yuri Zeltser,4
nm0477917,Ulrich König,3
nm0228229,John Dirlam,1
nm0349722,Andre R. Guttfreund,1
nm0821451,Eric Steven Stahl,3
nm0234520,Shimon Dotan,5
nm0003080,Rachel Talalay,3
nm0081540,Susanne Bier,15
nm0000816,Jon Avnet,7
nm0488555,Ricardo Larraín,3
nm0770617,Lou Scheimer,1
nm0458392,Damian Klaus,1
nm0611072,Kathy Mueller,1
nm0726954,Eran Riklis,11
nm0863633,Peter Timm,8
nm0410922,Katsumune Ishida,2
nm0006787,Sam Irvin,11
nm0005563,Irwin Winkler,7
nm0313608,Screaming Mad George,1
nm0911036,Steve Wang,3
nm0890687,Joseph B. Vasquez,1
nm0155093,Peter Chelsom,10
nm0881145,Fred Unger,1
nm0638630,Roger Nygard,2
nm0567680,Bruce McDonald,11
nm0046554,Maroun Bagdadi,2
nm0413547,George Jackson,1
nm0570408,Doug McHenry,2
nm0398271,Frank Howson,2
nm0150991,Lau Chan,1
nm0487567,James Lapine,3
nm0176129,Thomas Constantinides,1
nm0000576,Sean Penn,5
nm10853047,Hiroaki Yoshida,1
nm0790180,Bashar Shbib,1
nm0822863,Jeff Stanzler,2
nm0151053,Norman Chan,1
nm0027214,Mike B. Anderson,1
nm0118345,Detlev Buck,14
nm0896856,Hans-Erich Viet,1
nm0477121,Kwang-su Park,5
nm0851556,David Tausik,1
nm0097977,Mark Steven Bosko,2
nm0363752,Wayne Alan Harold,3
nm0180508,Stephen Cornwell,2
nm0709527,Addison Randall,2
nm0003960,Zrinko Ogresta,7
nm0664582,Wladyslaw Pasikowski,12
nm0017352,Rafael Alcázar,2
nm0692725,P.J. Posner,2
nm0628956,Peter Ngor,1
nm0791672,Richard Shepard,8
nm0817974,Jane Spencer,1
nm0475659,Hanif Kureishi,1
nm0490958,Dale Launer,1
nm0865422,Valeriy Todorovskiy,9
nm0103929,Vladimir Bragin,1
nm0158779,Rico Chu,2
nm0353135,Petra Haffter,1
nm0717768,William Reilly,1
nm0330360,Keith Gordon,4
nm0439040,Michael Karbelnikoff,2
nm0496673,Jacques Leduc,1
nm0893536,Gerardo Vera,4
nm0140196,Carlos Carrera,9
nm0101141,John R. Bowey,1
nm0793835,Yermek Shinarbayev,1
nm0053022,Andrzej Baranski,2
nm0325402,Dan Golden,4
nm0005522,Mario Van Peebles,6
nm0275244,Larry Fessenden,5
nm0525475,Jamie Luk,1
nm0094217,John T. Bone,2
nm0684879,Brett Piper,5
nm0841232,Jan Sverák,9
nm0234483,Nikolay Dostal,5
nm0332392,Heywood Gould,3
nm0005815,Sven Nykvist,1
nm0923058,Renate Westphal-Lorenz,1
nm0232858,Mary Agnes Donoghue,2
nm1072561,Anant Balani,3
nm0775652,Frank C. Schroeder,1
nm0464383,Jan Jakub Kolski,12
nm0001331,Todd Haynes,8
nm0380628,Mark Herrier,1
nm1823221,Subhankar Ghosh,1
nm0613517,K. Muralimohana Rao,8
nm0708060,Vittorio Rambaldi,2
nm0744985,Phillip J. Roth,10
nm0505152,Brian Levant,9
nm0602104,Jocelyn Moorhouse,4
nm0579690,Nina Menkes,3
nm0046985,Deepak Bahry,4
nm0004886,Bill Duke,8
nm0825533,Ken Stein,1
nm0866062,Michael Tolkin,2
nm0414565,Nicholas Jacobs,1
nm0719298,Filip Renc,6
nm0343149,Jim Groom,1
nm0003588,Craig Pryce,2
nm0612671,Richard W. Munchkin,5
nm0414910,Rick Jacobson,15
nm0457541,Hiroyuki Kitakubo,2
nm0313471,James L. George,1
nm0781554,Bob Seeley,1
nm0365408,Trent Harris,2
nm0005572,Lili Fini Zanuck,1
nm0195934,Lawrence D'Souza,9
nm0350957,Manuel Gómez Pereira,10
nm0576548,Deepa Mehta,9
nm0478943,Stephen La Rocque,2
nm2223387,Saawan Kumar Tak,5
nm0196016,Gianni Da Campo,1
nm0240995,Christian Duguay,11
nm0049326,Aleksey Balabanov,14
nm0208342,Frank De Felitta,1
nm0007037,John Bailey,2
nm0165448,Stéphane Clavier,2
nm0496622,Mathias Ledoux,3
nm0508293,Thierry Lhermitte,1
nm0151066,Peter Ho-Sun Chan,12
nm0293125,Mark Freed,1
nm0394944,Jeffrey Hornaday,1
nm0372092,Ping He,4
nm0300076,Savi Gabizon,4
nm0866718,Kazuo Tomisawa,1
nm0038339,Michitaka Kikuchi,1
nm0190859,Alfonso Cuarón,8
nm0002606,David Price,2
nm0723685,Matty Rich,2
nm0778993,Cynthia Scott,1
nm0393661,Kevin Hooks,4
nm0404544,Rolando Hudson,1
nm0630372,John Nicolella,2
nm0826409,Manfred Stelzer,1
nm0136882,Topper Carew,1
nm0616913,John Myhers,1
nm0437490,Rolfe Kanefsky,11
nm0437659,Charles T. Kanganis,5
nm0233757,Jaco Van Dormael,4
nm0677943,Daniel Petrie Jr.,4
nm0058401,Sharunas Bartas,7
nm0281869,Rodman Flender,5
nm0402538,Lisa Hunt,1
nm0546686,Nicolae Margineanu,8
nm0260599,Andrey Eshpay,1
nm0945226,Katsuhisa Yamada,1
nm0575523,Julio Medem,10
nm0285832,Phillip R. Ford,1
nm0238679,Svetlana Druzhinina,2
nm0544306,Guido Manuli,2
nm0669631,Brian Peck,1
nm0013828,Lawrence Ah Mon,9
nm0481703,Kai-Ming Lai,6
nm0773593,Andreas Schnaas,6
nm0417654,Attila Janisch,3
nm0774356,Michael Schoemann,3
nm0859920,Brett Thompson,1
nm0888241,Sterling Van Wagenen,3
nm0000399,David Fincher,10
nm0915394,Keoni Waxman,17
nm0476956,Boris Kvashnev,1
nm0068385,Martin Bell,1
nm7512040,Steven L. Austin,1
nm0770942,Richard Schenkman,8
nm0481723,Stan Lai,1
nm0001429,Takeshi Kitano,5
nm0803112,Marisa Sistach,4
nm0039391,Don Askarian,1
nm0006498,Majid Majidi,9
nm0025609,Deepak Anand,4
nm0807563,Bruce W. Smith,1
nm0603826,Rafael Moreno Alba,1
nm0272511,Larry Ferguson,2
nm0001063,Jeff Conaway,1
nm0269899,Neill Fearnley,1
nm0379179,Mark Herman,6
nm0321112,Marcel Gisler,4
nm0592824,Bob Misiorowski,4
nm0382054,Jon Hewitt,5
nm0938732,Richard Wolstencroft,2
nm0846902,Margaret Tait,1
nm0675894,P.J. Pesce,1
nm0388888,Gary Hoffman,1
nm0032349,Daniel B. Appleby,1
nm0531296,Syd Macartney,2
nm0812121,Gerard Soeteman,1
nm0411809,Olaf Ittenbach,8
nm0069715,Rémy Belvaux,1
nm0095298,André Bonzel,1
nm0952467,Alain Zaloum,6
nm0158857,Ming-liang Tsai,11
nm0530376,Temístocles López,2
nm0848017,Mohammad-Ali Talebi,5
nm0737400,Aleksandr Rogozhkin,8
nm0465036,Johnnie Kong,1
nm0070474,Jack Bender,1
nm0396017,Dan Hoskins,1
nm0326716,Yevgeni Golubenko,1
nm0834168,Janis Streics,8
nm0174903,Nicole Conn,4
nm0589168,Randall Miller,7
nm0000778,Alfonso Arau,4
nm0273277,José Antonio Garcia,3
nm0137363,Carlo Carlei,3
nm0048037,Darko Bajic,6
nm0868219,Guillermo del Toro,10
nm0082802,Mike Binder,7
nm0533744,Alison Maclean,3
nm0014147,Faruque Ahmed,1
nm0397184,Cecil Howard,1
nm0282708,Isaac Florentine,9
nm0145245,Alien Castle,1
nm0215081,Mark Deimel,1
nm0592803,Sudhir Mishra,10
nm0162470,Beppe Cino,1
nm0586841,Tahmineh Milani,11
nm0342099,Aurelio Grimaldi,5
nm0128334,Maria Lease,1
nm0638308,Francesco Nuti,1
nm0660893,John Paragon,2
nm0340493,Shani Grewal,1
nm0467225,Peter Kosminsky,2
nm0562645,Les Mayfield,7
nm0186196,Ronnie Cramer,1
nm0799471,Lawrence L. Simeone,1
nm0945902,Oles Yanchuk,4
nm0950767,Evgeniy Yufit,3
nm0472386,Bill Kroyer,1
nm0936145,Walter Wippersberg,1
nm0810539,Stephen Smoke,2
nm0658087,Thomas Palmer Jr.,1
nm0009743,Jon Acevski,1
nm0626406,Berit Nesheim,4
nm0753366,John Ryman,1
nm0459996,Reinhard Klooss,5
nm0645549,Takao Okawara,6
nm0642536,Dennis O'Rourke,1
nm0878638,David Twohy,7
nm0205542,Tamra Davis,7
nm0901127,Vinci Vogue Anzlovar,1
nm0540297,Ulf Malmros,9
nm0080588,Bruno Bianchi,1
nm0294973,Randall Fried,1
nm0877790,Paul Turner,1
nm0349742,Amos Guttman,1
nm0380957,Joel Hershman,2
nm0618405,Christopher Munch,5
nm0910979,Lung Wei Wang,1
nm0545099,Robert Marcarelli,3
nm0960253,Yavuz Özkan,4
nm0734319,Alexandre Rockwell,8
nm0746170,Dorna X. van Rouveroy,1
nm0169931,Michael Cohn,4
nm0487008,Lawrence Lanoff,8
nm0712541,Rahul Rawail,15
nm1083609,Danie Joubert,1
nm0534135,Duncan MacNeillie,2
nm0001139,Tom DiCillo,6
nm0225416,Ernest R. Dickerson,9
nm0365001,Leslie Harris,1
nm0300370,Hans Åke Gabrielsson,4
nm0648421,Darezhan Omirbayev,5
nm0499939,Pekka Lehto,5
nm1013669,Iku Suzuki,2
nm0003941,David Winning,7
nm0065615,Wolfgang Becker,5
nm0559629,Joji Matsuoka,5
nm0862911,Greg Tiernan,7
nm0102631,Jaroslav Brabec,2
nm0262595,Bruce A. Evans,2
nm0794456,Tzvi Shissel,3
nm0417541,Sun-Woo Jang,5
nm0538955,Mohamed Malas,1
nm0223250,Patrick Dewolf,2
nm0342271,Douglas K. Grimm,1
nm0502577,Brett Leonard,6
nm0327064,Nick Gomez,4
nm0238778,Lee Drysdale,1
nm0167396,Craig Clyde,12
nm0419884,Vadim Jean,7
nm0802551,Gary Sinyor,8
nm0646987,Ron Oliver,6
nm0368674,Masami Hata,4
nm0403774,William T. Hurtz,1
nm0954353,Jimmy Zeilinger,1
nm0863021,Arkadiy Tigay,2
nm0354780,Johanna Hald,2
nm0187333,Lol Creme,1
nm0322865,Arne Glimcher,3
nm0151167,Wing-Chiu Chan,1
nm0001675,Robert Rodriguez,19
nm0229962,Beda Docampo Feijóo,2
nm0769135,Don Scardino,3
nm0274998,Pablo Ferro,1
nm0322839,Greg Glienna,2
nm0999532,Georgiy Shengeliya,4
nm0236729,Srdjan Dragojevic,7
nm0003328,Peter Foldy,3
nm0027733,Kjell-Åke Andersson,6
nm0811143,Skott Snider,2
nm0697587,Barry Primus,1
nm0554280,Mario Martone,8
nm0793522,Barry Shils,1
nm0005008,Brian Henson,3
nm0194896,Roberto D'Agostino,1
nm0168214,Stacy Cochran,3
nm0344893,Niels Gråbøl,3
nm0852019,Baz Taylor,2
nm0688933,Mati Põldre,1
nm0548449,Monte Markham,1
nm0812850,Giancarlo Soldi,1
nm0650905,Kenny Ortega,3
nm0567979,Rodney McDonald,10
nm0200670,Richard Danus,1
nm0912334,Alex van Warmerdam,4
nm0818547,Scott Spiegel,2
nm0862532,Antonio Tibaldi,3
nm0858525,Betty Thomas,8
nm0581847,Matthew Meshekoff,1
nm0251760,Bernd Eilert,1
nm0661796,Jong-won Park,2
nm0845829,Michael Taav,1
nm0485819,Krzysztof Lang,6
nm0676361,Charlie Peters,2
nm0253531,Jan Eliasberg,1
nm0035883,Robin B. Armstrong,1
nm0871596,Terri Treas,1
nm0533564,Gillies MacKinnon,11
nm10998246,Sachin Pilgaonkar,2
nm0755113,Sachin,2
nm0947779,Chi-Kin Yeung,2
nm0262693,David Mickey Evans,6
nm0926688,Michael Whyte,1
nm0071770,Gary O. Bennett,1
nm0067872,Mikhail Belikov,1
nm0290213,Karl Francis,2
nm0605583,Robert Morin,5
nm0000233,Quentin Tarantino,14
nm0458251,Cédric Klapisch,13
nm0941067,Abbe Wool,1
nm0942408,Geoffrey Wright,5
nm0572114,Dee McLachlan,5
nm0946937,Hitoshi Yazaki,3
nm0226200,Helmut Dietl,5
nm0411556,Aline Issermann,2
nm0814786,Dror Soref,2
nm0233585,Jacques Dorfmann,2
nm0536421,Pierre Magny,1
nm0015941,Patrick Alan,1
nm0326163,Amy Goldstein,1
nm0880521,Liv Ullmann,4
nm0777447,Stefan Schwartz,3
nm0505736,Thunder Levin,2
nm0027465,Stephen Milburn Anderson,3
nm0144301,Alexander Cassini,2
nm0237527,Andreas Dresen,11
nm0004111,Mark Frost,1
nm0525303,Baz Luhrmann,5
nm0687384,Allen Plone,2
nm0435788,Tom Kalin,2
nm0074757,Daniel Bergman,2
nm0201949,Buddhadev Dasgupta,5
nm0766262,Shimako Sato,5
nm0003186,Jordan Alan,2
nm0093271,Craig Bolotin,2
nm0680250,Bill Phillips,1
nm0080245,Bharathan,8
nm0001188,Nora Ephron,8
nm0538614,Kelly Makin,4
nm0474837,Mehul Kumar,7
nm0144660,P.J. Castellaneta,2
nm0613487,Ryû Murakami,1
nm0938490,Andy Wolk,1
nm0049878,Craig Baldwin,2
nm0234547,Viktor Dotsenko,1
nm0000487,Ang Lee,14
nm0687739,Bill Plympton,7
nm0498064,Raymond Lee,2
nm0700641,L.A. Puopolo,1
nm0157024,Andrew Chiaramonte,1
nm0326884,Flora Gomes,2
nm0065663,James Becket,3
nm0848501,Augusto Tamayo San Román,1
nm0855188,Kevin Tent,2
nm0727575,Alfredo Ringel,1
nm0727576,Deborah Ringel,1
nm0601881,Simon Moore,1
nm0687913,Bruno Podalydès,8
nm0431118,Gérard Jourd'hui,1
nm0838499,Martin Sulík,7
nm0452783,Janusz Kijowski,1
nm0422791,Neal Jimenez,1
nm0825790,Michael Steinberg,3
nm0410045,Matthew Irmas,3
nm0707134,Frank Rainone,2
nm0041118,David Attwood,1
nm0796229,Michael Sibay,2
nm0457479,Tai-Kit Mak,1
nm0237292,Anthony Drazan,3
nm0693840,Mansour Pourmand,1
nm0957461,Davor Zmegac,1
nm0688497,Jean Poiret,1
nm0744721,Dana Rotberg,3
nm0765039,Deepak Sareen,3
nm0902290,Katja von Garnier,6
nm0407067,Álex de la Iglesia,15
nm0887452,Erik Van Looy,6
nm0695162,J. Om Prakash,5
nm0101385,Rob Bowman,4
nm0648036,Claes Olsson,5
nm0800872,Megan Simpson Huberman,2
nm0731146,Rob Weiss,1
nm0235387,Lorenzo Doumani,5
nm0296861,E. Max Frye,1
nm0627704,Chris Newby,2
nm0031700,Ackyl Anwari,2
nm0812862,Silvio Soldini,10
nm0330984,Sotiris Goritsas,4
nm0002184,Vic Armstrong,3
nm0668292,Dave Payne,8
nm0957365,Milan Zivkovic,5
nm0367895,Patrick Hasburgh,1
nm0368690,Ebrahim Hatamikia,15
nm0122216,Abbas Alibhai Burmawalla,16
nm0122217,Mastan Alibhai Burmawalla,16
nm0812200,Iain Softley,8
nm0086295,Les Blair,2
nm0398871,David Wu,1
nm0943765,Lukasz Wylezalek,1
nm0574914,Nick Mead,2
nm0692415,Ralph E. Portillo,9
nm0022828,Kevin Altieri,1
nm0456631,Boyd Kirkland,2
nm0667469,Frank Paur,1
nm0722713,Dan Riba,1
nm0705779,Eric Radomski,1
nm0863622,Bruce Timm,1
nm0766578,Ernest G. Sauer,4
nm0660889,Arto Paragamian,3
nm0595618,Tracey Moffatt,1
nm4426543,Chin-Chung Chan,1
nm0955451,Yuan Zhang,6
nm0372421,Jonathan Heap,4
nm0149134,Sinan Çetin,9
nm0149446,Gurinder Chadha,9
nm0650381,Gary Dean Orona,3
nm0407552,Kunihiko Ikuhara,2
nm2170148,Fumihiro Yoshimura,1
nm0255891,Cassian Elwes,1
nm0112409,Philip Brophy,1
nm0500867,Miroslav Lekic,4
nm0000151,Morgan Freeman,1
nm0528337,Jennifer Lynch,4
nm0447630,Nicholas Kendall,4
nm0925870,John Whitesell,7
nm0586136,Evgeni Mihailov,1
nm0540542,Darren Moloney,2
nm0547616,Serban Marinescu,4
nm0223335,Debaloy Dey,2
nm0504980,Patrick Leung,11
nm0759270,Pierre Salvadori,9
nm0449868,Lodge Kerrigan,3
nm0367523,Gail Harvey,3
nm0151135,Tony Chan,6
nm0341930,Mikhail Grigoryev,1
nm0836045,Vladimir Studennikov,1
nm0204629,Gary Davis,1
nm0302007,Carlos Galettini,10
nm0003974,Philippe Muyl,5
nm0227677,John Dingwall,1
nm0393064,Wei Tat Hon,1
nm0000500,Richard Linklater,18
nm0375973,Ralph Hemecker,2
nm0282064,Mandie Fletcher,3
nm0104193,Marco Brambilla,3
nm0916852,Christopher Webster,1
nm0537695,Stewart Main,2
nm0920375,Peter Wells,1
nm0879471,Tamás Tóth,1
nm0204334,Charles Davis,1
nm0877834,Rob Turner,1
nm0644861,Orhan Oguz,5
nm0911075,Xiaoshuai Wang,11
nm0950819,James Yukich,2
nm0393874,Claudia Hoover,2
nm0335859,Steve Grass,1
nm0198059,Peter Dalle,3
nm0452047,Aleksandr Khvan,3
nm0950361,Nasiruddin Yousuff,2
nm0796479,Christian Drew Sidaris,2
nm0334924,Patrick Grandperret,2
nm0006960,John Madden,11
nm0082893,Steve Bing,1
nm0538107,Lech Majewski,8
nm0936451,Carol Wiseman,1
nm0742586,Scott M. Rosenfelt,1
nm0418619,Alexandre Jardin,1
nm0004121,Mikael Salomon,3
nm0239822,Rémy Duchemin,1
nm0156871,Chi-Ngai Lee,9
nm0580982,Agnès Merlet,4
nm0173724,Cristina Comencini,10
nm0160614,Richard Pepin,11
nm0217782,Peter Delpeut,2
nm0812787,Russell Solberg,1
nm0775733,Peter Schrøder,3
nm0254632,Stephan Elliott,7
nm0716257,Matt Reeves,6
nm0608692,Elijah Moshinsky,1
nm0274262,Laurence Ferreira Barbosa,4
nm0019755,Felipe Aljure,2
nm0387683,Richard Hobert,12
nm0033081,Semyon Aranovich,2
nm0903271,Francis von Zerneck,1
nm0164609,William Clark,2
nm0302390,Hugh Gallagher,2
nm0322144,Richard Glatzer,5
nm0843629,Ildikó Szabó,1
nm0512003,Åke Lindman,5
nm0545861,David Marconi,2
nm0368031,Ryosuke Hashiguchi,5
nm0662186,David Parker,2
nm0817848,Alan Spencer,1
nm0091056,Jean Bodon,1
nm0261529,Manel Esteban,1
nm0657866,Per Pallesen,1
nm0242271,Duwayne Dunham,2
nm0669704,Raoul Peck,4
nm0576282,Leslie Megahey,1
nm0504297,Michael Lessac,1
nm0082898,Bun Yuen,1
nm0947092,Brook Yeaton,1
nm0760280,Barry Samson,2
nm0580337,Ismail Merchant,4
nm0361864,Paul Harather,3
nm0165049,Warren Clarke,1
nm0506461,Jefery Levy,2
nm0032714,Sharif Arafah,17
nm0561703,Garth Maxwell,2
nm0380980,Marshall Herskovitz,2
nm0471452,Suresh Krishna,19
nm0546057,Adam Marcus,4
nm0158409,Leung Chun 'Samson' Chiu,5
nm0205827,Abolhassan Davoodi,6
nm0823608,Steven Starr,1
nm0333641,Gustavo Graef Marino,3
nm0916502,Billy Weber,1
nm0054230,James H. Barden,1
nm0280745,Stefan Fjeldmark,6
nm0617960,Flemming Quist Møller,3
nm0269992,Christian Fechner,1
nm0784061,Dominic Sena,5
nm0356338,Guðný Halldórsdóttir,3
nm0382584,George Hickenlooper,8
nm0892400,Jean van de Velde,10
nm0451998,Bakhtyar Khudojnazarov,3
nm0793662,Keizô Shimizu,1
nm0428751,Mark Jones,5
nm0918089,Yossi Wein,6
nm0692159,Jeffrey Porter,2
nm0948151,Thomas Yip,1
nm0590843,Min Kan Ng,1
nm0201710,Dharmesh Darshan,7
nm0788610,Paul Shapiro,1
nm0686506,Roger Planchon,2
nm0253311,David Elfick,1
nm0192890,William Curran,1
nm0096995,Arthur Borman,2
nm0019242,Daniel Alfredson,13
nm0621915,Yusri Nasrullah,7
nm0781230,Mike Sedan,10
nm0400436,Albert Hughes,5
nm0400441,Allen Hughes,6
nm0847259,Glenn Takakjian,1
nm0057819,Mariano Barroso,8
nm0156557,Roman Cheung,1
nm0690213,Leone Pompucci,2
nm0670757,Alejandro Pelayo,1
nm0605748,Jon Moritsugu,2
nm0953706,Yolande Zauberman,2
nm0264242,John Eyres,6
nm0005237,Anthony Minghella,5
nm0870841,Anh Hung Tran,6
nm0822711,Lita Stantic,1
nm0351993,Philip Haas,5
nm0796361,Harald Sicheritz,10
nm0748022,Bruce Joel Rubin,1
nm0357965,John Hamilton,4
nm0590991,Igor Minaiev,1
nm0659454,Rithy Panh,3
nm0304521,Christophe Gans,5
nm0316592,Rodney Gibbons,7
nm0037511,Jeffrey Arsenault,1
nm0704198,Carlo U. Quinterio,1
nm0500329,Warren Leight,1
nm0783139,Henry Selick,4
nm0414458,Jerry P. Jacobs,3
nm0377600,Morten Henriksen,2
nm0778014,Guita Schyfter,1
nm0156566,Siu-Hung Chung,10
nm0644016,Sias Odendaal,1
nm0003766,Michael Pakleppa,1
nm0405129,Hans Hylkema,1
nm0620064,Takehiro Nakajima,1
nm0343799,Charles Grosvenor,2
nm0702522,Markku Pölönen,9
nm0564678,Rod McCall,3
nm0511351,Clas Lindberg,3
nm0474290,Sina Kujansuu,1
nm0894787,Giovanni Veronesi,15
nm0496029,Alberto Lecchi,9
nm0300638,Ashok Gaekwad,4
nm0001741,Bryan Singer,11
nm0635815,Guy Norris,1
nm0718736,Martín Rejtman,4
nm0511432,Christian Lindblad,1
nm0617407,Aleksi Mäkelä,15
nm0827663,Daniel Stern,1
nm0442479,Satish Kaushik,13
nm0758595,Tuomas Sallinen,1
nm0493923,Kalpana Lajmi,2
nm0014947,Mark Aizenberg,1
nm0848343,Ramesh Talwar,4
nm0398575,Jan Hrebejk,16
nm0001873,Steven Zaillian,3
nm0596407,Hans Petter Moland,11
nm0097529,Dave Borthwick,3
nm0331719,Igor Gostev,2
nm0047575,Paule Baillargeon,1
nm0851288,John Tatoulis,3
nm0842468,Larry Swerdlove,1
nm0104745,Clark Brandon,1
nm0845643,Carsten Sønder,1
nm0097180,Aleksandr Borodyanskiy,1
nm0895350,Jørgen Vestergaard,2
nm0433588,Óskar Jónasson,5
nm0421567,Knut Erik Jensen,3
nm0357816,Dean Hamilton,3
nm0031992,Stephan Apelgren,6
nm0569166,Scott McGehee,5
nm0796915,David Siegel,5
nm0733435,Thomas Robsahm,4
nm0141961,Thomas Carter,5
nm0779830,T.J. Scott,3
nm0686304,Marcelo Piñeyro,8
nm0792018,John Shepphird,4
nm0320660,François Girard,6
nm0322248,Mitch Glazer,1
nm0568478,Ross McElwee,1
nm0563331,Michael Mazo,4
nm0295133,Adam Friedman,1
nm0418883,Kevin Jarre,1
nm0513371,Philippe Lioret,7
nm0956454,Jean-Jacques Zilbermann,5
nm0261198,Philomène Esposito,1
nm0586123,Radu Mihaileanu,6
nm0756406,Yôichi Sai,7
nm0742553,Keva Rosenfeld,1
nm0437652,Woo-Suk Kang,9
nm0040125,Dmitriy Astrakhan,3
nm0878756,Tom Tykwer,11
nm0045024,Temur Babluani,2
nm0447314,Júlíus Kemp,3
nm0657722,Kari Paljakka,2
nm0449216,Roeland Kerbosch,1
nm0002368,Tom Flynn,1
nm0839660,Stephen Surjik,1
nm0957797,Dick Zondag,1
nm0957798,Ralph Zondag,2
nm0186610,Jay Craven,5
nm0427732,Chris Jones,2
nm0194274,Catherine Cyran,4
nm0001130,Ted Demme,6
nm0320180,Robert Ginty,1
nm0150862,Dennis Chan,1
nm0960709,Hoi-Ching Cheung,1
nm0156890,Joseph Chi,1
nm0134176,Danny Cannon,5
nm0340742,John Greyson,4
nm0948075,Ying Ning,3
nm0135952,Nae Caranfil,7
nm0496752,Daniel Lee,11
nm0702375,Severo Perez,1
nm0419012,Tero Jartti,1
nm0769522,Steven Schachter,2
nm0689385,Jeff Pollack,3
nm0001723,Tom Shadyac,8
nm0556325,Kôichi Mashimo,3
nm0847109,Banmei Takahashi,2
nm0135141,Frank A. Cappello,3
nm0584630,Vladimír Michálek,6
nm0055369,Anthony Barnao,1
nm0494355,Philippe Le Guay,8
nm0613981,John Murlowski,17
nm0021577,Merzak Allouache,7
nm0227192,Steve DiMarco,2
nm0235370,Cheik Doukouré,1
nm0320513,Marita Giovanni,1
nm0912874,Jennifer Warren,2
nm0205157,Michael Davis,6
nm0946085,Yazhou Yang,3
nm0899501,Paolo Virzì,13
nm0038609,Ash Baron-Cohen,3
nm0262277,Corey Michael Eubanks,2
nm0386384,Hiroki Shibata,2
nm0003031,Caroline Thompson,2
nm0906548,Rupert Wainwright,3
nm0053157,Norberto Barba,2
nm0042771,Walter Avancini,1
nm0119689,Penelope Buitenhuis,3
nm0002916,Ray Brady,6
nm0758933,Jean-Paul Salomé,7
nm0885014,Nick Vallelonga,6
nm0104851,Charlotte Brändström,2
nm0547713,Dragan Marinkovic,3
nm0218547,Zeki Demirkubuz,7
nm0082748,Charles Binamé,7
nm0720304,Adam Resnick,1
nm0697676,Jonathan Prince,1
nm0601619,Michael Moore,1
nm0691078,Angela Pope,2
nm0133408,Carla Camurati,3
nm0569372,Scott McGinnis,2
nm0821412,Juan Bautista Stagnaro,4
nm0391312,Graham Holloway,1
nm0382783,James D.R. Hickox,4
nm0073322,Alain Berbérian,6
nm0713610,Spiro Razatos,1
nm0003620,Kevin Smith,13
nm0926458,Stephen Whittaker,2
nm0817878,Brenton Spencer,3
nm0002174,Yves Angelo,4
nm0133075,Giacomo Campiotti,3
