year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1922.0,9.0,676.0,125,1.0,-1.0,0,0.0,-1.0,0,2057.0,323062.0,43.0,30.0,1.0,22.0,5.0,2.0,6.0,6.7
1922.0,10.0,600.0,143,1.0,-1.0,0,1.0,-1.0,0,982.0,1500000.0,37.0,40.0,1.0,47.0,4.0,1.0,47.0,7.2
1922.0,11.0,1557.0,137,1.0,-1.0,0,1.0,-1.0,0,410.0,400000.0,30.0,29.0,2.0,25.0,4.0,1.0,13.0,6.9
1922.0,9.0,1557.0,120,1.0,-1.0,0,1.0,-1.0,0,106.0,1500000.0,25.0,36.0,2.0,37.0,3.0,1.0,5.0,6.3
1923.0,9.0,681.0,98,1.0,-1.0,0,1.0,-1.0,0,4.0,782000.0,44.0,1.0,1.0,29.0,6.0,2.0,14.0,6.6
1923.0,12.0,98.0,74,1.0,-1.0,0,1.0,-1.0,0,93.0,121000.0,30.0,18.0,1.0,22.0,4.0,2.0,11.0,8.1
1923.0,2.0,1557.0,124,1.0,-1.0,0,0.0,1.0,1,2057.0,858723.0,49.0,1.0,1.0,23.0,5.0,2.0,6.0,7.0
1923.0,6.0,1472.0,96,1.0,-1.0,0,1.0,-1.0,0,6.0,90220.0,40.0,24.0,1.0,27.0,4.0,2.0,13.0,6.5
1923.0,11.0,942.0,136,1.0,-1.0,0,1.0,-1.0,0,4.0,1800000.0,62.0,3.0,1.0,44.0,1.0,1.0,41.0,6.8
1923.0,5.0,1557.0,100,1.0,-1.0,0,1.0,-1.0,0,451.0,650000.0,29.0,3.0,2.0,22.0,6.0,2.0,24.0,6.4
1923.0,9.0,530.0,63,1.0,-1.0,0,1.0,-1.0,0,93.0,220626.0,30.0,18.0,1.0,24.0,7.0,2.0,11.0,7.4
1923.0,6.0,1557.0,82,1.0,-1.0,0,0.0,1.0,1,762.0,351000.0,28.0,4.0,2.0,58.0,1.0,1.0,2.0,7.0
1924.0,5.0,1517.0,135,1.0,-1.0,0,1.0,-1.0,0,9989.0,750000.0,32.0,29.0,2.0,54.0,1.0,1.0,10.0,6.9
1924.0,4.0,1193.0,87,1.0,-1.0,0,1.0,-1.0,0,986.0,400000.0,31.0,18.0,1.0,25.0,7.0,2.0,11.0,7.7
1924.0,2.0,1560.0,95,1.0,-1.0,0,1.0,-1.0,0,1.0,172000.0,41.0,24.0,1.0,22.0,23.0,2.0,9.0,7.8
1924.0,1.0,1856.0,150,1.0,-1.0,0,1.0,-1.0,0,27.0,280000.0,25.0,16.0,1.0,25.0,4.0,2.0,73.0,7.2
1924.0,12.0,1517.0,153,1.0,-1.0,0,1.0,-1.0,0,106.0,1000000.0,27.0,36.0,2.0,52.0,3.0,1.0,3.0,5.7
1924.0,1.0,1574.0,140,1.0,-1.0,0,1.0,-1.0,0,987.0,546883.0,47.0,1.0,1.0,30.0,12.0,2.0,6.0,8.1
1925.0,4.0,1060.0,120,1.0,-1.0,0,1.0,-1.0,0,2.0,320000.0,34.0,3.0,2.0,26.0,3.0,2.0,39.0,7.3
1925.0,11.0,1494.0,107,1.0,-1.0,0,1.0,-1.0,0,1375.0,477480.0,29.0,4.0,1.0,34.0,3.0,2.0,41.0,6.8
1925.0,11.0,1472.0,110,1.0,-1.0,0,1.0,-1.0,0,57.0,700000.0,34.0,32.0,1.0,34.0,5.0,2.0,44.0,7.2
